Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
LiskovSubstitutionPrinciple,com.home.liskovSubstitutionPrinciple.badExample,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
LiskovSubstitutionPrinciple,com.home.liskovSubstitutionPrinciple.goodExample,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
